from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
nips,icml,1992,1990,1,29
nips,icml,1994,1988,1,4
nips,icml,1995,1989,1,7
nips,icml,1995,1990,1,15
nips,icml,1995,1993,3,15
nips,icml,1996,1993,1,12
nips,icml,1996,1995,1,26
nips,icml,1997,1990,1,5
nips,icml,1997,1995,3,40
nips,icml,1998,1990,1,25
nips,icml,1998,1991,1,25
nips,icml,1998,1992,2,35
nips,icml,1998,1993,1,20
nips,icml,1998,1995,2,41
nips,icml,1998,1996,1,40
nips,icml,1998,1997,1,33
nips,icml,1999,1992,1,17
nips,icml,1999,1993,2,13
nips,icml,1999,1995,2,32
nips,icml,1999,1996,2,31
nips,icml,1999,1997,1,27
nips,icml,1999,1998,3,38
nips,icml,2000,1993,1,10
nips,icml,2000,1994,1,14
nips,icml,2000,1995,1,21
nips,icml,2000,1996,2,30
nips,icml,2000,1998,5,36
nips,icml,2001,1995,2,23
nips,icml,2001,1996,2,42
nips,icml,2001,1998,8,63
nips,icml,2001,1999,1,66
nips,icml,2001,2000,7,69
nips,icml,2002,1996,1,31
nips,icml,2002,1998,1,29
nips,icml,2002,1999,3,48
nips,icml,2002,2000,4,71
nips,icml,2002,2001,3,48
nips,icml,2003,1994,1,30
nips,icml,2003,1995,1,37
nips,icml,2003,1996,3,41
nips,icml,2003,1997,4,54
nips,icml,2003,1998,4,59
nips,icml,2003,1999,2,78
nips,icml,2003,2000,7,90
nips,icml,2003,2001,8,142
nips,icml,2003,2002,8,115
nips,icml,2004,1994,1,16
nips,icml,2004,1996,1,26
nips,icml,2004,1998,3,39
nips,icml,2004,1999,4,48
nips,icml,2004,2000,3,51
nips,icml,2004,2001,3,77
nips,icml,2004,2002,5,98
nips,icml,2004,2003,14,141
nips,icml,2005,1994,1,22
nips,icml,2005,1995,4,24
nips,icml,2005,1996,1,21
nips,icml,2005,1998,1,32
nips,icml,2005,1999,3,56
nips,icml,2005,2000,2,56
nips,icml,2005,2001,5,77
nips,icml,2005,2002,5,79
nips,icml,2005,2003,8,138
nips,icml,2005,2004,6,95
nips,icml,2006,1993,1,9
nips,icml,2006,1995,1,27
nips,icml,2006,1996,2,32
nips,icml,2006,1997,1,33
nips,icml,2006,1998,1,36
nips,icml,2006,1999,1,43
nips,icml,2006,2000,6,49
nips,icml,2006,2001,6,74
nips,icml,2006,2002,5,74
nips,icml,2006,2003,7,126
nips,icml,2006,2004,13,127
nips,icml,2006,2005,12,114
nips,icml,2007,1994,1,23
nips,icml,2007,1995,1,20
nips,icml,2007,1996,2,25
nips,icml,2007,1998,3,40
nips,icml,2007,1999,2,45
nips,icml,2007,2000,4,57
nips,icml,2007,2001,4,73
nips,icml,2007,2002,2,92
nips,icml,2007,2003,14,116
nips,icml,2007,2004,13,128
nips,icml,2007,2005,22,190
nips,icml,2007,2006,21,167
nips,icml,2008,1989,1,13
nips,icml,2008,1991,1,10
nips,icml,2008,1994,1,26
nips,icml,2008,1995,3,24
nips,icml,2008,1996,2,30
nips,icml,2008,1997,1,25
nips,icml,2008,1998,3,42
nips,icml,2008,1999,1,43
nips,icml,2008,2000,2,53
nips,icml,2008,2001,3,71
nips,icml,2008,2002,3,78
nips,icml,2008,2003,7,107
nips,icml,2008,2004,9,112
nips,icml,2008,2005,15,143
nips,icml,2008,2006,19,178
nips,icml,2008,2007,15,170
nips,icml,2009,1995,2,49
nips,icml,2009,1996,2,41
nips,icml,2009,1997,2,59
nips,icml,2009,1998,5,49
nips,icml,2009,1999,1,68
nips,icml,2009,2000,1,75
nips,icml,2009,2001,4,81
nips,icml,2009,2002,5,97
nips,icml,2009,2003,11,171
nips,icml,2009,2004,18,181
nips,icml,2009,2005,15,177
nips,icml,2009,2006,24,250
nips,icml,2009,2007,22,284
nips,icml,2009,2008,25,297
nips,icml,2010,1992,1,32
nips,icml,2010,1993,1,11
nips,icml,2010,1995,1,27
nips,icml,2010,1996,1,30
nips,icml,2010,1997,3,28
nips,icml,2010,1998,1,41
nips,icml,2010,1999,3,51
nips,icml,2010,2000,4,42
nips,icml,2010,2001,1,68
nips,icml,2010,2002,6,71
nips,icml,2010,2003,7,119
nips,icml,2010,2004,14,124
